Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Eficiencia,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score
Dran Sword,3-60,Flat,33.3,6.0,12.0,18,50.0,1.5,1.42,0.1627855436366285
Dran Sword,3-60,High Needle,50.0,3.0,3.0,6,39.0,1.33,2.0,0.1876128068994087
Dran Sword,3-60,Low Flat,28.6,2.0,5.0,7,38.0,2.5,1.4,0.0822171657090155
Dran Sword,3-60,Orb,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Dran Sword,3-60,Point,58.3,7.0,5.0,12,77.0,1.71,1.6,0.3195073356553728
Dran Sword,3-60,Rush,37.5,6.0,10.0,16,60.0,1.67,1.3,0.184809825547528
Dran Sword,3-60,Taper,48.7,19.0,20.0,39,89.0,1.42,1.45,0.3386492878313309
Dran Sword,3-60,Vortex,50.0,9.0,9.0,18,85.0,2.11,1.56,0.2903070395897999
Dran Sword,3-80,Flat,40.0,2.0,3.0,5,43.0,2.5,1.67,0.1176182311592532
Dran Sword,4-60,Taper,60.0,3.0,2.0,5,51.0,1.33,1.5,0.230719932208837
Dran Sword,4-80,Needle,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Dran Sword,5-60,Flat,25.0,1.0,3.0,4,15.0,1.0,1.67,0.0455860626446362
Dran Sword,5-60,Taper,37.5,3.0,5.0,8,55.0,2.0,1.0,0.136841759461521
Dran Sword,5-80,Flat,40.0,2.0,3.0,5,27.0,1.0,1.67,0.1176182311592532
Dran Sword,5-80,Orb,60.0,3.0,2.0,5,36.0,1.0,2.0,0.230719932208837
Dran Sword,7-60,Taper,0.0,0.0,3.0,3,0.0,0.0,2.67,0.0
Dran Sword,9-60,Flat,20.0,1.0,4.0,5,13.0,1.0,1.75,0.0362231609697874
Dran Sword,9-60,Needle,25.0,1.0,3.0,4,24.0,2.0,1.33,0.0455860626446362
Dran Sword,9-60,Rush,50.0,2.0,2.0,4,30.0,1.5,2.5,0.1500357088201714
Dran Sword,9-60,Taper,50.0,4.0,4.0,8,50.0,1.25,1.5,0.2152125268244419
Dran Sword Free,3-60,Flat,0.0,0.0,3.0,3,0.0,0.0,0.0,0.0
Driger S,1-60,Unite,33.3,1.0,2.0,3,31.0,2.0,1.0,0.0614903152761605
Emperor Might Bumper,5-60,High Needle,50.0,4.0,4.0,8,37.0,1.0,2.0,0.2152125268244419
Emperor Might Heavy,9-60,Free Ball,33.3,2.0,4.0,6,29.0,1.0,1.25,0.0967693325592168
Emperor Might Round,9-60,Under Needle,75.0,3.0,1.0,4,60.0,1.0,1.0,0.3006360524426366
Fort Hornet Heavy,4-50,Ball,71.4,5.0,2.0,7,74.0,1.0,1.0,0.3589290901482126
Fox Brush Jaggy,1-60,Rush,28.6,2.0,5.0,7,31.0,1.5,1.4,0.0822171657090155
Fox Brush Slash,1-60,Low Flat,0.0,0.0,5.0,5,0.0,0.0,1.2,0.0
Ghost Circle,0-80,Low Orb,60.0,3.0,2.0,5,43.0,1.0,1.5,0.230719932208837
Ghost Circle,3-60,Low Orb,63.3,19.0,11.0,30,103.0,1.32,1.45,0.4551324643360493
Ghost Circle,9-60,Free Ball,50.0,2.0,2.0,4,34.0,1.5,2.0,0.1500357088201714
Ghost Circle,9-80,Low Orb,12.5,1.0,7.0,8,11.0,1.0,1.43,0.0224169088632961
Golem Rock,0-80,High Needle,61.5,8.0,5.0,13,58.0,1.13,2.0,0.3552248097226855
Golem Rock,1-60,Low Orb,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
Golem Rock,1-60,Under Needle,40.0,2.0,3.0,5,31.0,1.5,2.0,0.1176182311592532
Golem Rock,1-60,Unite,25.0,1.0,3.0,4,28.0,3.0,1.33,0.0455860626446362
Golem Rock,1-60,Wedge,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
Golem Rock,3-60,Free Ball,100.0,8.0,0.0,8,220.0,1.38,0.0,0.6755843804891231
Golem Rock,5-60,Hexa,50.0,2.0,2.0,4,32.0,1.0,1.5,0.1500357088201714
Golem Rock,6-60,Low Rush,50.0,3.0,3.0,6,43.0,1.33,1.67,0.1876128068994087
Golem Rock,6-60,Rush,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
Golem Rock,6-60,Under Flat,0.0,0.0,2.0,2,0.0,0.0,1.5,0.0
Golem Rock,6-80,Hexa,83.3,5.0,1.0,6,67.0,1.4,2.0,0.4364905634363539
Golem Rock,6-80,Low Orb,71.4,5.0,2.0,7,74.0,2.0,2.0,0.3589290901482126
Golem Rock,7-60,Low Rush,25.0,1.0,3.0,4,22.0,2.0,1.67,0.0455860626446362
Golem Rock,7-60,Orb,33.3,1.0,2.0,3,15.0,1.0,2.0,0.0614903152761605
Golem Rock,9-60,Low Flat,0.0,0.0,2.0,2,0.0,0.0,1.5,0.0
Golem Rock,9-60,Low Orb,68.2,15.0,7.0,22,88.0,1.4,2.0,0.4731822278283934
Golem Rock,9-60,Under Needle,66.7,4.0,2.0,6,59.0,1.25,1.5,0.2999883213415286
Golem Rock,9-60,Unite,40.0,2.0,3.0,5,26.0,1.5,2.67,0.1176182311592532
Hells Chain,3-80,Point,33.3,2.0,4.0,6,43.0,3.0,1.5,0.0967693325592168
Hells Chain,5-60,Ball,28.6,2.0,5.0,7,27.0,1.5,1.8,0.0822171657090155
Hells Chain,5-60,Dot,45.8,11.0,13.0,24,76.0,1.73,1.62,0.2789105835168142
Hells Chain,5-60,Free Ball,12.5,1.0,7.0,8,11.0,1.0,1.43,0.0224169088632961
Hells Chain,5-60,Hexa,33.3,3.0,6.0,9,43.0,1.67,1.33,0.1205815986827429
Hells Chain,5-60,High Needle,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Hells Chain,5-60,High Taper,71.4,5.0,2.0,7,56.0,1.8,3.0,0.3589290901482126
Hells Chain,5-60,Needle,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Hells Chain,5-60,Point,36.4,4.0,7.0,11,60.0,2.5,1.29,0.1516622361413138
Hells Chain,5-60,Taper,60.0,3.0,2.0,5,51.0,1.33,1.5,0.230719932208837
Hells Chain,9-60,Needle,66.7,2.0,1.0,3,55.0,1.5,1.0,0.2076549551264878
Hells Chain,9-60,Taper,50.0,1.0,1.0,2,18.0,1.0,2.0,0.0945286548008661
Hells Chain,9-80,Dot,60.0,6.0,4.0,10,86.0,1.83,1.25,0.3126695474501863
Hells Chain,9-80,Needle,56.3,9.0,7.0,16,67.0,1.33,1.86,0.3317819560677652
Hells Hammer,1-60,Rush,50.0,4.0,4.0,8,55.0,1.0,1.0,0.2152125268244419
Hells Hammer,3-60,Cyclone,25.0,1.0,3.0,4,17.0,1.0,1.33,0.0455860626446362
Hells Hammer,3-60,Flat,25.0,1.0,3.0,4,17.0,1.0,1.33,0.0455860626446362
Hells Hammer,3-60,Hexa,25.0,1.0,3.0,4,22.0,2.0,1.67,0.0455860626446362
Hells Hammer,3-60,High Taper,50.0,5.0,5.0,10,44.0,1.4,2.4,0.2365895936154873
Hells Hammer,3-70,Flat,20.0,1.0,4.0,5,22.0,2.0,1.25,0.0362231609697874
Hells Hammer,3-70,Hexa,50.0,2.0,2.0,4,40.0,2.0,2.0,0.1500357088201714
Hells Hammer,3-70,Jolt,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Hells Hammer,3-70,Kick,50.0,2.0,2.0,4,54.0,2.0,1.0,0.1500357088201714
Hells Hammer,3-70,Rush,55.0,33.0,27.0,60,128.0,1.73,1.33,0.424917145489815
Hells Hammer,3-80,Low Flat,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Hells Hammer,3-85,Low Rush,75.0,3.0,1.0,4,43.0,1.67,3.0,0.3006360524426366
Hells Hammer,5-80,Rush,14.3,1.0,6.0,7,21.0,3.0,1.17,0.0256789559489747
Hells Hammer,7-60,Ball,57.1,4.0,3.0,7,56.0,1.5,1.67,0.2504542304090258
Hells Hammer,9-60,Low Flat,0.0,0.0,3.0,3,0.0,0.0,1.33,0.0
Hells Hammer,9-60,Rush,38.2,13.0,21.0,34,75.0,2.0,1.62,0.2389996485160878
Hells Reaper Charge,9-60,Ball,16.7,1.0,5.0,6,18.0,2.0,1.6,0.0300525858717302
Hells Reaper Jaggy,7-60,Kick,50.0,1.0,1.0,2,18.0,1.0,2.0,0.0945286548008661
Hells Reaper Round,9-60,Kick,50.0,3.0,3.0,6,57.0,2.33,1.67,0.1876128068994087
Hells Reaper Turn,1-60,Hexa,0.0,0.0,2.0,2,0.0,0.0,2.0,0.0
Hells Scythe,1-60,Ball,75.0,3.0,1.0,4,55.0,1.67,2.0,0.3006360524426366
Hells Scythe,1-60,Taper,25.0,1.0,3.0,4,22.0,2.0,1.67,0.0455860626446362
Hells Scythe,1-80,Rubber Accel,50.0,4.0,4.0,8,55.0,1.0,1.0,0.2152125268244419
Hells Scythe,3-60,Ball,64.8,35.0,19.0,54,115.0,1.43,1.79,0.5148458381779774
Hells Scythe,3-60,Free Ball,78.0,46.0,13.0,59,121.0,1.37,2.23,0.6586705755334911
Hells Scythe,3-60,Taper,44.0,11.0,14.0,25,70.0,1.64,1.71,0.2666537494700257
Hells Scythe,3-70,Point,87.5,7.0,1.0,8,89.0,1.71,2.0,0.5291051942301385
Hells Scythe,3-80,Ball,50.0,5.0,5.0,10,43.0,1.0,1.8,0.2365895936154873
Hells Scythe,3-80,Taper,50.0,1.0,1.0,2,27.0,1.0,1.0,0.0945286548008661
Hells Scythe,4-60,Ball,60.0,6.0,4.0,10,62.0,1.5,2.0,0.3126695474501863
Hells Scythe,4-60,Gear Ball,0.0,0.0,3.0,3,0.0,0.0,2.33,0.0
Hells Scythe,4-60,Needle,36.4,4.0,7.0,11,55.0,1.75,1.14,0.1516622361413138
Hells Scythe,4-60,Taper,16.65,2.0,6.0,8,11.0,0.25,1.5,0.0483846662796084
Hells Scythe,5-60,Ball,33.3,2.0,4.0,6,37.0,2.0,1.5,0.0967693325592168
Hells Scythe,5-60,Disc Ball,100.0,4.0,0.0,4,161.0,1.5,0.0,0.5100999795960008
Hells Scythe,5-60,Free Ball,50.0,2.0,2.0,4,40.0,1.0,1.0,0.1500357088201714
Hells Scythe,5-60,Orb,58.3,7.0,5.0,12,88.0,2.0,1.4,0.3195073356553728
Hells Scythe,5-60,Point,33.3,1.0,2.0,3,13.0,1.0,2.5,0.0614903152761605
Hells Scythe,5-60,Taper,25.0,1.0,3.0,4,20.0,1.0,1.0,0.0455860626446362
Hells Scythe,5-70,Ball,50.0,2.0,2.0,4,32.0,1.0,1.5,0.1500357088201714
Hells Scythe,5-80,Orb,50.0,2.0,2.0,4,34.0,1.5,2.0,0.1500357088201714
Hells Scythe,9-60,Ball,64.7,132.0,72.0,204,158.0,1.42,1.67,0.5793138542867039
Hells Scythe,9-60,Disc Ball,75.0,3.0,1.0,4,69.0,1.33,1.0,0.3006360524426366
Hells Scythe,9-60,Free Ball,65.7,23.0,12.0,35,96.0,1.26,1.83,0.4915164687273671
Hells Scythe,9-60,Low Orb,33.3,1.0,2.0,3,25.0,3.0,2.5,0.0614903152761605
Hells Scythe,9-60,Low Rush,42.9,3.0,4.0,7,47.0,1.67,1.5,0.1582169222626268
Hells Scythe,9-60,Needle,37.5,6.0,10.0,16,56.0,1.33,1.2,0.184809825547528
Hells Scythe,9-60,Orb,54.5,18.0,15.0,33,91.0,1.39,1.53,0.3798565794374957
Hells Scythe,9-70,Ball,60.0,9.0,6.0,15,58.0,1.44,2.67,0.357464427565077
Hover Wyvern,1-60,Free Ball,0.0,0.0,2.0,2,0.0,0.0,2.5,0.0
Hover Wyvern,1-60,Kick,75.0,3.0,1.0,4,55.0,1.67,2.0,0.3006360524426366
Hover Wyvern,1-60,Low Rush,48.8,21.0,22.0,43,103.0,1.67,1.32,0.34617209277756
Hover Wyvern,7-60,Kick,68.55,8.0,4.0,12,75.5,1.375,1.0,0.3129912472637823
Hover Wyvern,7-60,Level,33.3,1.0,2.0,3,23.0,2.0,2.0,0.0614903152761605
Hover Wyvern,7-60,Low Rush,54.5,6.0,5.0,11,62.0,1.83,2.2,0.2800877556899882
Hover Wyvern,9-60,Kick,100.0,3.0,0.0,3,22.0,1.33,0.0,0.4384939195509822
Hover Wyvern,9-60,Taper,25.0,1.0,3.0,4,24.0,2.0,1.33,0.0455860626446362
Hover Wyvern,9-60,Under Needle,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0
Impact Drake,1-60,Low Flat,57.1,4.0,3.0,7,61.0,1.75,1.67,0.2504542304090258
Impact Drake,1-60,Taper,100.0,2.0,0.0,2,110.0,2.5,0.0,0.3423719528896193
Impact Drake,1-60,Under Needle,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Impact Drake,3-60,Rush,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Impact Drake,3-60,Unite,16.7,1.0,5.0,6,18.0,2.0,1.6,0.0300525858717302
Impact Drake,3-80,Taper,20.0,1.0,4.0,5,22.0,2.0,1.25,0.0362231609697874
Impact Drake,4-60,Low Flat,50.0,2.0,2.0,4,57.0,2.5,1.0,0.1500357088201714
Impact Drake,4-60,Under Needle,50.0,1.0,1.0,2,27.0,1.0,1.0,0.0945286548008661
Impact Drake,4-70,Level,64.3,9.0,5.0,14,95.0,1.44,1.2,0.3876400468214041
Impact Drake,5-60,Gear Point,40.0,2.0,3.0,5,38.0,1.5,1.33,0.1176182311592532
Impact Drake,5-60,Level,20.0,1.0,4.0,5,20.0,2.0,1.5,0.0362231609697874
Impact Drake,5-60,Low Rush,30.8,4.0,9.0,13,46.0,2.0,1.56,0.1268049716161809
Impact Drake,5-60,Rush,50.0,1.0,1.0,2,27.0,2.0,2.0,0.0945286548008661
Impact Drake,6-60,Vortex,33.3,2.0,4.0,6,39.0,1.5,1.0,0.0967693325592168
Impact Drake,7-60,Rush,100.0,3.0,0.0,3,139.0,1.67,0.0,0.4384939195509822
Impact Drake,7-60,Zap,0.0,0.0,3.0,3,0.0,0.0,1.33,0.0
Impact Drake,9-60,Level,57.9,11.0,8.0,19,95.0,1.82,1.5,0.3627555146516011
Impact Drake,9-60,Low Rush,47.8,11.0,12.0,23,77.0,1.45,1.42,0.2923686953994572
